ecode,cname,fye,filingDate,address,stkno
E03366,日本マクドナルドホールディングス株式会社,2014-12-31,2015-03-26,東京都新宿区西新宿六丁目５番１号,2702.0
E01654,ホシザキ電機株式会社,2014-12-31,2015-03-26,愛知県豊明市栄町南館３番の16,6465.0
E04244,佐渡汽船株式会社,2014-12-31,2015-03-26,新潟県佐渡市両津湊353番地,9176.0
E03101,ラオックス株式会社,2014-12-31,2015-03-26,東京都港区芝二丁目７番17号,8202.0
E05116,サイボウズ株式会社,2014-12-31,2015-03-26,東京都文京区後楽一丁目４番14号,4776.0
E01867,アライドテレシスホールディングス株式会社,2014-12-31,2015-03-26,東京都品川区西五反田七丁目21番11号,6835.0
E02462,不二精機株式会社,2014-12-31,2015-03-27,大阪市生野区巽東四丁目４番37号,6400.0
E03948,株式会社日住サービス,2014-12-31,2015-03-27,大阪市北区梅田１丁目11番4-300号,8854.0
E01421,日本パワーファスニング株式会社,2014-12-31,2015-03-27,大阪市北区大淀中１丁目１番90号,5950.0
E01961,大和冷機工業株式会社,2014-12-31,2015-03-27,大阪市天王寺区小橋町３番13号,6459.0
E02116,株式会社大日光・エンジニアリング,2014-12-31,2015-03-27,栃木県日光市瀬尾33番地５,6635.0
E00315,美樹工業株式会社,2014-12-31,2015-03-27,兵庫県姫路市東延末二丁目50番地,1718.0
E03393,株式会社スタジオアリス,2014-12-31,2015-03-27,大阪市北区梅田一丁目８番17号,2305.0
E01596,JUKI株式会社,2014-12-31,2015-03-27,東京都多摩市鶴牧二丁目11番地１,6440.0
E04903,株式会社建設技術研究所,2014-12-31,2015-03-27,東京都中央区日本橋浜町三丁目21番１号,9621.0
E00133,金下建設株式会社,2014-12-31,2015-03-27,京都府宮津市字須津471番地の１,1897.0
E27046,株式会社グランディーズ,2014-12-31,2015-03-27,大分県大分市都町二丁目１番10号,3261.0
E02257,株式会社シマノ,2014-12-31,2015-03-27,堺市堺区老松町３丁77番地,7309.0
E04783,ロイヤルホールディングス株式会社,2014-12-31,2015-03-27,福岡市博多区那珂三丁目28番５号（上記は登記上の本店所在地であり、実質的な本社業務は下記「最寄りの連絡場所」において行っております。）,8179.0
E30091,株式会社ホットリンク,2014-12-31,2015-03-27,東京都千代田区四番町６番,3680.0
E05533,株式会社ファンコミュニケーションズ,2014-12-31,2015-03-27,東京都渋谷区渋谷一丁目１番８号,2461.0
E30048,Ｋ＆Ｏエナジーグループ株式会社,2014-12-31,2015-03-27,東京都中央区日本橋室町二丁目１番１号,1663.0
E21969,株式会社エス・ディー・エス　バイオテック,2014-12-31,2015-03-27,東京都中央区東日本橋一丁目１番５号,4952.0
E01028,伊勢化学工業株式会社,2014-12-31,2015-03-27,東京都中央区京橋一丁目３番１号,4107.0
E01223,東洋炭素株式会社,2014-12-31,2015-03-27,大阪市西淀川区竹島五丁目７番12号,5310.0
E04011,エリアリンク株式会社,2014-12-31,2015-03-27,東京都千代田区神田小川町三丁目１番地,8914.0
E02168,ヤマハ発動機株式会社,2014-12-31,2015-03-27,静岡県磐田市新貝2500番地,7272.0
E04348,ＫＮＴ－ＣＴホールディングス株式会社,2014-12-31,2015-03-27,東京都千代田区東神田一丁目７番８号,9726.0
E30126,株式会社日本アクア,2014-12-31,2015-03-27,東京都港区港南二丁目16番２号,1429.0
E31023,マークラインズ株式会社,2014-12-31,2015-03-27,東京都港区赤坂八丁目４番14号,3901.0
E00708,光ビジネスフォーム株式会社,2014-12-31,2015-03-27,東京都八王子市東浅川町553番地（上記は登記上の本店所在地であり、実際の本社業務は下記の場所で行っております。）,3948.0
E02366,三菱鉛筆株式会社,2014-12-31,2015-03-27,東京都品川区東大井五丁目23番37号,7976.0
E01692,株式会社小田原エンジニアリング,2014-12-31,2015-03-27,神奈川県足柄上郡松田町松田惣領1577番地,6149.0
E02104,株式会社　ディー・ディー・エス,2014-12-31,2015-03-27,愛知県名古屋市中区丸の内三丁目６番41号,3782.0
E00394,アサヒグループホールディングス株式会社,2014-12-31,2015-03-27,東京都墨田区吾妻橋一丁目23番１号,2502.0
E02564,昭光通商株式会社,2014-12-31,2015-03-27,東京都港区芝公園二丁目４番１号,8090.0
E01110,住友ゴム工業株式会社,2014-12-31,2015-03-27,神戸市中央区脇浜町３丁目６番９号,5110.0
E00351,鳥越製粉株式会社,2014-12-31,2015-03-27,福岡県うきは市吉井町276番地の１,2009.0
E05411,株式会社ツカダ・グローバルホールディング（旧会社名　株式会社ベストブライダル）,2014-12-31,2015-03-27,東京都渋谷区東三丁目11番10号,2418.0
E05275,株式会社山田債権回収管理総合事務所,2014-12-31,2015-03-27,神奈川県横浜市西区北幸一丁目11番15号　横浜ＳＴビル18階,4351.0
E02963,アップルインターナショナル株式会社,2014-12-31,2015-03-27,三重県四日市市日永二丁目３番３号,2788.0
E05308,株式会社SmartEbook.com,2014-12-31,2015-03-27,東京都中央区日本橋室町三丁目３番１号,2330.0
E05684,株式会社ケアネット,2014-12-31,2015-03-27,東京都千代田区九段南一丁目５番６号,2150.0
E01725,三井海洋開発株式会社,2014-12-31,2015-03-27,東京都中央区日本橋二丁目３番10号,6269.0
E00881,ミヨシ油脂株式会社,2014-12-31,2015-03-27,東京都葛飾区堀切四丁目66番１号,4404.0
E01988,日本セラミック株式会社,2014-12-31,2015-03-27,鳥取県鳥取市広岡176番地17,6929.0
E04914,株式会社ラックランド,2014-12-31,2015-03-27,東京都新宿区西新宿三丁目18番20号,9612.0
